timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1602526957179,3277,Requisição HTTP,200,OK,Grupo de Usuários 1-5,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3277,0,0
1602526957504,3296,Requisição HTTP,200,OK,Grupo de Usuários 1-10,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3296,0,0
1602526957506,3294,Requisição HTTP,200,OK,Grupo de Usuários 1-7,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3294,0,0
1602526957513,3288,Requisição HTTP,200,OK,Grupo de Usuários 1-8,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3288,0,0
1602526957513,3293,Requisição HTTP,200,OK,Grupo de Usuários 1-2,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3293,0,0
1602526957513,3296,Requisição HTTP,200,OK,Grupo de Usuários 1-9,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3296,0,0
1602526958839,3664,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3664,0,0
1602526960448,4186,Requisição HTTP,200,OK,Grupo de Usuários 1-6,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4186,0,0
1602526960450,4184,Requisição HTTP,200,OK,Grupo de Usuários 1-3,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4184,0,0
1602526960456,4178,Requisição HTTP,200,OK,Grupo de Usuários 1-5,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4178,0,0
1602526960456,4179,Requisição HTTP,200,OK,Grupo de Usuários 1-4,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4179,0,0
1602526960800,4208,Requisição HTTP,200,OK,Grupo de Usuários 1-10,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4208,0,0
1602526960801,4209,Requisição HTTP,200,OK,Grupo de Usuários 1-8,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4209,0,0
1602526960800,4210,Requisição HTTP,200,OK,Grupo de Usuários 1-7,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4210,0,0
1602526960809,4206,Requisição HTTP,200,OK,Grupo de Usuários 1-9,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4206,0,0
1602526960806,4210,Requisição HTTP,200,OK,Grupo de Usuários 1-2,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4210,0,0
1602526962504,3853,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3853,0,0
1602526964634,3732,Requisição HTTP,200,OK,Grupo de Usuários 1-6,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3732,0,0
1602526964634,3732,Requisição HTTP,200,OK,Grupo de Usuários 1-3,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3732,0,0
1602526964634,3732,Requisição HTTP,200,OK,Grupo de Usuários 1-5,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3732,0,0
1602526964635,3732,Requisição HTTP,200,OK,Grupo de Usuários 1-4,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3732,0,0
1602526965009,3838,Requisição HTTP,200,OK,Grupo de Usuários 1-10,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3838,0,0
1602526965010,3840,Requisição HTTP,200,OK,Grupo de Usuários 1-7,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3840,0,0
1602526965010,3840,Requisição HTTP,200,OK,Grupo de Usuários 1-8,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3840,0,0
1602526965015,3841,Requisição HTTP,200,OK,Grupo de Usuários 1-9,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3841,0,0
1602526965016,3843,Requisição HTTP,200,OK,Grupo de Usuários 1-2,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3843,0,0
1602526966357,4111,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4111,0,0
1602526968366,4130,Requisição HTTP,200,OK,Grupo de Usuários 1-6,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4130,0,0
1602526968366,4132,Requisição HTTP,200,OK,Grupo de Usuários 1-3,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4132,0,0
1602526968367,4132,Requisição HTTP,200,OK,Grupo de Usuários 1-5,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4132,0,0
1602526968367,4132,Requisição HTTP,200,OK,Grupo de Usuários 1-4,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4132,0,0
1602526968848,4045,Requisição HTTP,200,OK,Grupo de Usuários 1-10,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4045,0,0
1602526968851,4042,Requisição HTTP,200,OK,Grupo de Usuários 1-8,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4042,0,0
1602526968851,4043,Requisição HTTP,200,OK,Grupo de Usuários 1-7,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4043,0,0
1602526968856,4044,Requisição HTTP,200,OK,Grupo de Usuários 1-9,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,4044,0,0
1602526968859,5357,Requisição HTTP,200,OK,Grupo de Usuários 1-2,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,5357,0,0
1602526970468,5038,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,5038,0,0
1602526972498,3009,Requisição HTTP,200,OK,Grupo de Usuários 1-3,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3009,0,0
1602526972499,3009,Requisição HTTP,200,OK,Grupo de Usuários 1-5,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3009,0,0
1602526972499,3010,Requisição HTTP,200,OK,Grupo de Usuários 1-4,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3010,0,0
1602526972497,3013,Requisição HTTP,200,OK,Grupo de Usuários 1-6,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3013,0,0
1602526972894,2945,Requisição HTTP,200,OK,Grupo de Usuários 1-10,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,2945,0,0
1602526972894,2947,Requisição HTTP,200,OK,Grupo de Usuários 1-8,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,2947,0,0
1602526972894,2947,Requisição HTTP,200,OK,Grupo de Usuários 1-7,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,2947,0,0
1602526972900,2950,Requisição HTTP,200,OK,Grupo de Usuários 1-9,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,2950,0,0
1602526974217,3280,Requisição HTTP,200,OK,Grupo de Usuários 1-2,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3280,0,0
1602526975510,3303,Requisição HTTP,200,OK,Grupo de Usuários 1-6,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3303,0,0
1602526975507,3307,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3307,0,0
1602526975508,3306,Requisição HTTP,200,OK,Grupo de Usuários 1-3,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3306,0,0
1602526975509,3307,Requisição HTTP,200,OK,Grupo de Usuários 1-4,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3307,0,0
1602526975508,3308,Requisição HTTP,200,OK,Grupo de Usuários 1-5,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3308,0,0
1602526975839,3296,Requisição HTTP,200,OK,Grupo de Usuários 1-10,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3296,0,0
1602526975841,3296,Requisição HTTP,200,OK,Grupo de Usuários 1-8,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3296,0,0
1602526975841,3297,Requisição HTTP,200,OK,Grupo de Usuários 1-7,text,true,,786,130,10,10,http://projetosoap.herokuapp.com/,3297,0,0
